Organization Name,2019-20 Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2) [Updated with attendance from 2/2/20],"""Eligibility Status for Spring 2020 Re-Registration 
(begins Jan. 6, 2020)""",Group's Registration Progress,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
Pre-Law Organization for Transfer Students,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/PLS,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Pre-Law Society at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/premedatberkeley,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Premed at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/premedperspective,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Premed Perspective,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/pmapamsa,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Pre-Medical Asian Pacific American Medical Student Association at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/pmhs,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Pre-Medical Honor Society,Approved,8,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/prenursingsociety,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Pre-Nursing Society,Approved,5,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/preparetoachieveacollegeeducation,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Prepare to Achieve a College Education,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/PILLS,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
"Pre-Pharmacy Informational, Learning and Leadership Society",Approved,7,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ppas,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Pre-Physician Assistant Society,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/presencefellowship,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
"Presence Fellowship, The",Approved,6,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/pre-studentosteopathicmedicalassociation,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Pre-Student Osteopathic Medical Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/prezi,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Prezi at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/priestleyfirstfloorfoundation,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
Priestley First Floor Foundation,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/prisonyogaberkeley,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Prison Yoga Project at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/prisoneradvocacynetwork,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Prisoner Advocacy Network at Berkeley,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/plpb,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Prisoner’s Literature Project at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/privlab,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Privacy Law at Berkeley (also known as PrivLAB or PLAB),Approved,4,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/Pro-ActiveWellness,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
ProActive Wellness,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/probonotes,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
ProBonotes (formerly Boalt A Cappella),Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/epoch,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Product Development at Berkeley (Formerly EPOCH),Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/productspaceatberkeley,LEAD Center Category: Professional Organization - Advised by Deepak Sharma
Product Space at Berkeley,Approved,5,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/pda,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Professional Development in Asia,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ProfessionalFraternityCouncil,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Professional Fraternity Council at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/PLSatBerkeley,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Professional Law Society at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/progressiveactionnow,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Progressive Action Now,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/progressivechristians,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Progressive Christians at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/progressivestudentassociation,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Progressive Student Association,Approved,7,4,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/projectdowntown-berkeley,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Project Downtown - Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/projectmine,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Project MINE,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/projectnewbeginnings,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Project New Beginnings,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/pn,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Project Nicaragua of Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/projectnur,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Project Nur,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/projectpeanutbutter,"LEAD Center Category: Cultural & Identity/International RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Project Peanut Butter,Not Started,1,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/projectpengyou,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
"Project Pengyou, Berkeley Chapter",Approved,5,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/projectpueblo,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Project Pueblo at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/projectrishi,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
"Project Rishi, The Berkeley Chapter",Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/projectsafe,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Project Safety and Field Equity,Approved,4,2,Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ProjectSCIFI,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Project SCIFI,Not Started,3,2,,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/projectsmile,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Project Spreading Multiculturalism and Inspiring Leadership through Education,Approved,8,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/projectvision,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Project Vision,Approved,3,2,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/projectcollegebound,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Project: Collegebound,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/PSE_Two,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Promoting the Study of Erhu Through Worldwide Opportunities,Approved,4,3,Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/proseed,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
ProSeed,Not Started,0,0,,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/ProstheticsforChange,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Prosthetics for Change at Berkeley,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/paint,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Providing Art Inspires New Talents,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/psichi,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Psi Chi,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/PsychedelicScience,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Psychedelic Science at Berkeley,Approved,5,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/psj,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Psychologists for Social Justice,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/psychologyjournalclub,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Psychology Journal Club,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/publiceducationforum,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Public Education Forum,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/publichealthadvocate,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Public Health Advocate,Approved,6,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gapublichealthdoctoralstudentsassociation,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Public Health Doctoral Students Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/publichealthstudentassociationofafricandescent,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Public Health Student Association of African Descent,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/PPFBerkeley,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Public Policy Forum at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/publicrelationscal,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Public Relations at Cal,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/puente,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
PUENTE - Building Skills Partnership,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/puenteatberkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Puente at Berkeley,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/PuertoRicoSeLevanta,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Puerto Rico Se Levanta,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/punjabisatberkeley,NEEDS CALLINK DESIGNATION
Punjabis at Berkeley,Approved,5,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gaqhaas,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Q@Haas,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/qjew,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
QJew,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/qab,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
Quant at Berkeley,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/QuantitativeInvestingClub,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Quantitative Investing Club,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/qcb,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Quantum Computing at Berkeley,Approved,5,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/quantumconsciousness,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Quantum Consciousness,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/qappa,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Queer + Allied Pre-Health / Pre-Medical Association,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/queerallianceandresourcecenter,LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - Advised by Alejandro Muro
Queer Alliance & Resource Center,Approved,6,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/QueerandTransGeographersofBerkeley,LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - Advised by Alejandro Muro
Queer and Trans Geographers of Berkeley,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/qtpocc2016,LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - Advised by Alejandro Muro
Queer and/or Trans People of Color Conference 2016,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/queerbondsorganizingcommittee,LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - Advised by Alejandro Muro
Queer Bonds organizing committee,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/QC,LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - Advised by Alejandro Muro
Queer Caucus,Approved,4,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/qcs,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Queer Cultures,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/qgw,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Queer Grad Women and Friends,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/queergrads,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Queer Grads,Approved,6,5,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/queerhumanity,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Queer Humanity,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gaqueerissuesinpublicpolicy,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Queer Issues in Public Policy,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/queerstudentunion,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Queer Student Union,Approved,4,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/QTSAB,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
"Queer Trans South, Southwest Asians, and North Africans at Berkeley (QTSSWANA) [Formerly Queer Trans South Asians at Berkeley (QTSAB)]",Approved,5,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/qwil,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Queer Womxn in Law,Approved,5,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/queerwomyn,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Queer Womyn at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/queeringpublichealth,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Queering Public Health,Approved,4,2,Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/QueerlyPolitical,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Queerly Political,Approved,3,2,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/queersincomputerscienceandengineering,LEAD Center Category: Political & Advocacy RSO - Advised by Millicent Morris Chaney
Queers in Computer Science and Engineering,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/queersinengineeringscienceandtechnology,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
"Queers in Engineering, Science, and Technology",Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/QUIRS,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Queers United in Revolutionary Subversion,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/quiparle,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
qui parle: Critical Humanities and Social Sciences,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/quidditchleague,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Quidditch League at Berkeley,Approved,7,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/quizbowl,"LEAD Center Category: Recreational Organization - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Quiz Bowl Club,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/raasatberkeley,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Raíces Recruitment and Retention Center (formerly Raza Recruitment and Retention Center),Approved,9,4,,Sponsored Student Organizations,https://callink.berkeley.edu/actioncenter/organization/racismandinequityinstructuresofeducation,LEAD Center Category: Sponsored - bridges - Advised by Lyone Conner/Lien Truong
Raas Ramzat,Approved,6,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/radicalfriends,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Racism and Inequity in Structures of Education,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/garadicalgeographersworkinggroup,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Radical Friends,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gaac,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Radical Geographers Working Group,Approved,5,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/radicalyouth,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
"Radical Social Workers Collective, The",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ragasociety,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Radical Youth,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/razarrc,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Raga Society at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/raidersfanclub,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Raiders Fan Club,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/rainforestactionnetwork,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Rainforest Action Network,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/raon,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
Ra-On,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/RAPrEvention,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
RAPrEvention,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ratiochristi,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Ratio Christi at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/RAWMedia,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
RAW Media,Approved,6,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/rcflyers,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
RC Flyers of Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/reachapirrc,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
REACH! Asian Pacific American Recruitment and Retention Center,Approved,6,2,Not Eligible,Sponsored Student Organizations,https://callink.berkeley.edu/actioncenter/organization/RTF,LEAD Center Category: Sponsored - bridges - Advised by Lyone Conner/Lien Truong
React to Film,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/REACTatBerkeley,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
